id,ogc_fid,fid,osm_id,addr:street,network,addr:subward,name,contact:phone,addr:city,shop,addr:municipality,opening_hours,addr:ward,longitude,latitude
mwanza_businesses.1,1,1,4405735992,,,,Buswelu Stationary,,Mwanza,copyshop,Ilemela,,Buswelu,32.96235,-2.5258225
mwanza_businesses.2,2,2,4405870490,,,,Mully's Barbershop,,Mwanza,cosmetics,Ilemela,,Buswelu,32.9620056,-2.5241797
mwanza_businesses.3,3,3,6939514016,,,,Viane wine shop,,Mwanza,wine,Ilemela,,Buswelu,32.9736845,-2.5161821
mwanza_businesses.4,4,4,6939513923,Isela,,,Buswelu,,Mwanza,wine,Ilemela,,Buswelu,32.9739866,-2.5158522
mwanza_businesses.5,5,5,5986146187,,,,Saloon,,Mwanza,hairdresser,Ilemela,,Buswelu,32.9699002,-2.5124415
mwanza_businesses.6,6,6,6242220285,Kigala,,,George's Shop,,Mwanza,convenience,Ilemela,Mo-Su 07:30-22:30,Buswelu,32.9701107,-2.4979804
mwanza_businesses.7,7,7,6793768418,,,,Maduka 16,,Mwanza,convenience,Ilemela,,Buswelu,32.9687288,-2.4969179
mwanza_businesses.8,8,8,8520664079,Buzuruga Kusini,,Buzuruga Kusini,,,Mwanza,convenience,Ilemela,Mo-Su 09:00-21:00,Buzuruga,32.9359174,-2.5330037
mwanza_businesses.9,9,9,8520657098,,,Buzuruga Kusini,,,Mwanza,convenience,Ilemela,Mo-Sa 09:00-20:00,Buzuruga,32.9365182,-2.5340327
mwanza_businesses.10,10,10,8520664130,,,Buzuruga Kusini,,,Mwanza,car_parts,Ilemela,Mo-Su 09:00-21:00,Buzuruga,32.9372734,-2.5348585
mwanza_businesses.11,11,11,8520664107,,,Buzuruga Kusini,Gaddafi Hair Cutting Salon,,Mwanza,hairdresser,Ilemela,Mo-Su 09:00-21:00,Buzuruga,32.9373358,-2.5336088
mwanza_businesses.12,12,12,8520663775,,,Buzuruga,,,Mwanza,bed,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9379773,-2.5349759
mwanza_businesses.13,13,13,8520664025,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9379988,-2.5344828
mwanza_businesses.14,14,14,8520664169,,,Buzuruga,,,Mwanza,car_parts,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9379988,-2.53459
mwanza_businesses.15,15,15,8520663989,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9380417,-2.5345686
mwanza_businesses.16,16,16,8520664199,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9380417,-2.53459
mwanza_businesses.17,17,17,8520663661,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9380631,-2.5345043
mwanza_businesses.18,18,18,8520664017,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9380615,-2.5347775
mwanza_businesses.19,19,19,8520663897,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9380846,-2.5344828
mwanza_businesses.20,20,20,8520664192,,,Buzuruga,,,Mwanza,bed,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.938149,-2.5350187
mwanza_businesses.21,21,21,8520657070,,,Buzuruga,,,Mwanza,beverages,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9381704,-2.5345257
mwanza_businesses.22,22,22,8520663843,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.938184,-2.5343527
mwanza_businesses.23,23,23,8520664313,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.938149,-2.5348473
mwanza_businesses.24,24,24,8520664405,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9379988,-2.5347829
mwanza_businesses.25,25,25,8520664442,,,Buzuruga,,,Mwanza,car_parts,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9381812,-2.5343855
mwanza_businesses.26,26,26,8520664043,,,Buzuruga,,,Mwanza,bed,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9381919,-2.5345686
mwanza_businesses.27,27,27,8520663926,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9381949,-2.534313
mwanza_businesses.28,28,28,8520663915,,,Buzuruga,,,Mwanza,cosmetics,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9382133,-2.5344185
mwanza_businesses.29,29,29,8520664136,,,Buzuruga,,,Mwanza,beverages,Ilemela,Mo-Sa 08:00-18:00;24/7,Buzuruga,32.9382348,-2.5348258
mwanza_businesses.30,30,30,8520657037,,,Buzuruga,,,Mwanza,car_parts,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9382563,-2.5348687
mwanza_businesses.31,31,31,8520664006,,,Buzuruga,,,Mwanza,beverages,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9382563,-2.5343971
mwanza_businesses.32,32,32,8520664047,,,Buzuruga,,,Mwanza,beverages,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9383421,-2.5348258
mwanza_businesses.33,33,33,8520657031,,,Buzuruga,,,Mwanza,beverages,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.938385,-2.534933
mwanza_businesses.34,34,34,8520663955,,,Buzuruga,,,Mwanza,convenience,Ilemela,Mo-Sa 08:00-18:00,Buzuruga,32.9384255,-2.5348432
